# schema_version: 1
# lap: 1
# driver: 0822
# phase: coached
# setup: apex-study-v1
# source: torcs:human-1-1787394301-10916-1.csv | car: Player | race_lap: 1 | measured_lap_time: 143.990
# sector: derived as thirds of track length (TORCS exports no sectors)
t,dist,speed,throttle,brake,steer,gear,sector,x,y,track_pos,damage,wall_clock_s
0.0,0.06,39.669,1.0,0.0,0.0,3,1,385.736,484.463,-0.0166,0,1787394309.0443
0.022,0.935,39.8099,1.0,0.0,0.0,3,1,386.61,484.462,-0.0167,0,1787394309.0444
0.044,1.812,39.9257,1.0,0.0,0.0,3,1,387.487,484.461,-0.0168,0,1787394309.0446
0.066,2.692,40.0177,0.9048,0.0,0.0,3,1,388.367,484.461,-0.017,0,1787394309.1471
0.088,3.573,40.1414,0.9157,0.0,0.0,3,1,389.249,484.46,-0.0171,0,1787394309.1473
0.11,4.459,40.3136,1.0,0.0,0.0,3,1,390.134,484.459,-0.0172,0,1787394309.1475
0.132,5.347,40.4638,1.0,0.0,0.0,3,1,391.022,484.459,-0.0174,0,1787394309.1478
0.154,6.239,40.6104,1.0,0.0,0.0,3,1,391.914,484.458,-0.0175,0,1787394309.148
0.176,7.134,40.7545,1.0,0.0,0.0,3,1,392.81,484.457,-0.0176,0,1787394309.261
0.198,8.033,40.897,1.0,0.0,0.0,3,1,393.708,484.457,-0.0178,0,1787394309.2612
0.22,8.934,41.038,1.0,0.0,0.0,3,1,394.609,484.456,-0.0179,0,1787394309.2614
0.242,9.839,41.1781,1.0,0.0,0.0,3,1,395.514,484.455,-0.018,0,1787394309.2617
0.264,10.746,41.3045,1.0,0.0,0.0,3,1,396.421,484.455,-0.0182,0,1787394309.2619
0.286,11.656,41.4474,1.0,0.0,0.0,3,1,397.332,484.454,-0.0183,0,1787394309.3687
0.308,12.57,41.5902,1.0,0.0,0.0,3,1,398.245,484.453,-0.0185,0,1787394309.369
0.33,13.486,41.7315,1.0,0.0,0.0,3,1,399.162,484.453,-0.0186,0,1787394309.3692
0.352,14.406,41.8722,1.0,0.0,0.0,3,1,400.081,484.452,-0.0187,0,1787394309.3695
0.374,15.329,42.0121,1.0,0.0,0.0,3,1,401.004,484.451,-0.0189,0,1787394309.3698
0.396,16.255,42.1513,1.0,0.0,0.0,3,1,401.93,484.45,-0.0191,0,1787394309.4709
0.418,17.184,42.2895,1.0,0.0,0.0,3,1,402.859,484.449,-0.0193,0,1787394309.4711
0.44,18.116,42.4272,1.0,0.0,0.0,3,1,403.791,484.448,-0.0195,0,1787394309.4713
0.462,19.051,42.5518,1.0,0.0,0.0,3,1,404.726,484.447,-0.0197,0,1787394309.4714
0.484,19.988,42.6915,1.0,0.0,0.0,3,1,405.663,484.446,-0.0199,0,1787394309.5742
0.506,20.929,42.8322,1.0,0.0,0.0,3,1,406.604,484.445,-0.0201,0,1787394309.5745
0.528,21.873,42.9711,1.0,0.0,0.0,3,1,407.548,484.444,-0.0203,0,1787394309.5746
0.55,22.82,43.1092,1.0,0.0,0.0,3,1,408.495,484.443,-0.0205,0,1787394309.5749
0.572,23.77,43.2465,1.0,0.0,0.0,3,1,409.445,484.442,-0.0207,0,1787394309.5751
0.594,24.723,43.383,1.0,0.0,0.0,3,1,410.398,484.441,-0.0209,0,1787394309.6771
0.616,25.679,43.5186,1.0,0.0,0.0,3,1,411.354,484.44,-0.0211,0,1787394309.6773
0.638,26.637,43.6535,1.0,0.0,0.0,3,1,412.313,484.439,-0.0213,0,1787394309.6774
0.66,27.599,43.7772,1.0,0.0,0.0,3,1,413.274,484.438,-0.0215,0,1787394309.6776
0.682,28.564,43.9115,1.0,0.0,0.0,3,1,414.239,484.437,-0.0217,0,1787394309.6777
0.704,29.531,44.0463,1.0,0.0,0.0,3,1,415.206,484.436,-0.0219,0,1787394309.7827
0.726,30.501,44.1795,1.0,0.0,0.0,3,1,416.177,484.435,-0.0221,0,1787394309.7828
0.748,31.475,44.3116,1.0,0.0,0.0,3,1,417.15,484.434,-0.0223,0,1787394309.783
0.77,32.451,44.4427,1.0,0.0,0.0,3,1,418.126,484.433,-0.0225,0,1787394309.7831
0.792,33.43,44.5727,1.0,0.0,0.0,3,1,419.105,484.432,-0.0227,0,1787394309.7832
0.814,34.412,44.7012,1.0,0.0,0.0,3,1,420.087,484.431,-0.0229,0,1787394309.8845
0.836,35.397,44.8286,1.0,0.0,0.0,3,1,421.072,484.43,-0.0231,0,1787394309.8847
0.858,36.384,44.9464,1.0,0.0,0.0,3,1,422.059,484.429,-0.0233,0,1787394309.8848
0.88,37.374,45.0574,1.0,0.0,0.0,4,1,423.049,484.428,-0.0235,0,1787394309.8849
0.902,38.366,45.1694,1.0,0.0,0.0,4,1,424.041,484.427,-0.0237,0,1787394309.9856
0.924,39.361,45.2844,1.0,0.0,0.0,4,1,425.036,484.426,-0.0239,0,1787394309.9858
0.946,40.358,45.4016,1.0,0.0,0.0,4,1,426.033,484.425,-0.0241,0,1787394309.9859
0.968,41.358,45.5196,1.0,0.0,0.0,4,1,427.033,484.424,-0.0243,0,1787394309.9861
0.99,42.36,45.6374,1.0,0.0,0.0,4,1,428.036,484.423,-0.0245,0,1787394309.9862
1.012,43.365,45.7549,1.0,0.0,0.0,4,1,429.041,484.422,-0.0247,0,1787394310.0874
1.034,44.373,45.87,1.0,0.0,0.0,4,1,430.048,484.421,-0.0249,0,1787394310.0875
1.056,45.383,45.9843,1.0,0.0,0.0,4,1,431.058,484.42,-0.0251,0,1787394310.0877
1.078,46.396,46.1036,1.0,0.0,0.0,4,1,432.071,484.419,-0.0253,0,1787394310.0878
1.1,47.411,46.2225,1.0,0.0,0.0,4,1,433.086,484.418,-0.0255,0,1787394310.1919
1.122,48.429,46.341,1.0,0.0,0.0,4,1,434.104,484.417,-0.0257,0,1787394310.1921
1.144,49.449,46.4592,1.0,0.0,0.0,4,1,435.124,484.416,-0.0259,0,1787394310.1922
1.166,50.472,46.5772,1.0,0.0,0.0,4,1,436.147,484.415,-0.0261,0,1787394310.1923
1.188,51.498,46.6946,1.0,0.0,0.0,4,1,437.173,484.414,-0.0263,0,1787394310.1925
1.21,52.526,46.8118,1.0,0.0,0.0,4,1,438.201,484.413,-0.0265,0,1787394310.2938
1.232,53.557,46.9239,1.0,0.0,0.0,4,1,439.232,484.412,-0.0267,0,1787394310.294
1.254,54.59,47.0424,1.0,0.0,0.0,4,1,440.265,484.411,-0.0269,0,1787394310.2941
1.276,55.626,47.1607,1.0,0.0,0.0,4,1,441.301,484.41,-0.0271,0,1787394310.2942
1.298,56.664,47.2786,1.0,0.0,0.0,4,1,442.339,484.409,-0.0273,0,1787394310.2943
1.32,57.705,47.3962,1.0,0.0,0.0,4,1,443.38,484.408,-0.0275,0,1787394310.3964
1.342,58.749,47.5133,1.0,0.0,0.0,4,1,444.424,484.407,-0.0277,0,1787394310.3965
1.364,59.795,47.63,1.0,0.0,0.0,4,1,445.47,484.406,-0.0279,0,1787394310.3966
1.386,60.843,47.7462,1.0,0.0,0.0,4,1,446.518,484.405,-0.0281,0,1787394310.3968
1.408,61.894,47.8578,1.0,0.0,0.0,4,1,447.569,484.404,-0.0283,0,1787394310.3969
1.43,62.948,47.9746,1.0,0.0,0.0,4,1,448.623,484.403,-0.0285,0,1787394310.5053
1.452,64.004,48.0911,1.0,0.0,0.0,4,1,449.679,484.402,-0.0287,0,1787394310.5055
1.474,65.063,48.2071,1.0,0.0,0.0,4,1,450.738,484.401,-0.0289,0,1787394310.5056
1.496,66.124,48.3228,1.0,0.0,0.0,4,1,451.799,484.4,-0.0291,0,1787394310.5057
1.518,67.188,48.4381,1.0,0.0,0.0,4,1,452.863,484.399,-0.0293,0,1787394310.6108
1.54,68.254,48.5531,1.0,0.0,0.0,4,1,453.929,484.398,-0.0295,0,1787394310.611
1.562,69.323,48.6675,1.0,0.0,0.0,4,1,454.998,484.397,-0.0297,0,1787394310.6111
1.584,70.394,48.7785,1.0,0.0,0.0,4,1,456.069,484.396,-0.0299,0,1787394310.6112
1.606,71.468,48.8931,1.0,0.0,0.0,4,1,457.143,484.395,-0.0301,0,1787394310.6113
1.628,72.544,49.0076,1.0,0.0,0.0,4,1,458.219,484.394,-0.0303,0,1787394310.7122
1.65,73.623,49.1216,1.0,0.0,0.0,4,1,459.298,484.393,-0.0305,0,1787394310.7125
1.672,74.704,49.2354,1.0,0.0,0.0,4,1,460.379,484.392,-0.0307,0,1787394310.7133
1.694,75.788,49.3488,1.0,0.0,0.0,4,1,461.463,484.391,-0.031,0,1787394310.7135
1.716,76.874,49.4618,1.0,0.0,0.0,4,1,462.549,484.39,-0.0312,0,1787394310.7136
1.738,77.963,49.5744,1.0,0.0,0.0,4,1,463.638,484.389,-0.0314,0,1787394310.8171
1.76,79.054,49.6845,1.0,0.0,0.0,4,1,464.729,484.388,-0.0316,0,1787394310.8173
1.782,80.147,49.7971,1.0,0.0,0.0,4,1,465.822,484.387,-0.0318,0,1787394310.8175
1.804,81.243,49.9094,1.0,0.0,0.0,4,1,466.918,484.386,-0.032,0,1787394310.8176
1.826,82.342,50.0213,1.0,0.0,0.0,4,1,468.017,484.385,-0.0322,0,1787394310.8177
1.848,83.443,50.133,1.0,0.0,0.0,4,1,469.118,484.384,-0.0324,0,1787394310.9232
1.87,84.546,50.2444,1.0,0.0,0.0,4,1,470.221,484.383,-0.0326,0,1787394310.9234
1.892,85.652,50.3554,1.0,0.0,0.0,4,1,471.327,484.382,-0.0328,0,1787394310.9236
1.914,86.76,50.466,1.0,0.0,0.0,4,1,472.435,484.381,-0.033,0,1787394310.9244
1.936,87.871,50.5751,1.0,0.0,0.0,4,1,473.546,484.38,-0.0332,0,1787394311.0269
1.958,88.984,50.6854,1.0,0.0,0.0,4,1,474.659,484.379,-0.0334,0,1787394311.0271
1.98,90.099,50.7955,1.0,0.0,0.0,4,1,475.774,484.378,-0.0336,0,1787394311.0273
2.002,91.217,50.9053,1.0,0.0,0.0,4,1,476.892,484.377,-0.0338,0,1787394311.0274
2.024,92.337,51.0148,1.0,0.0,0.0,4,1,478.012,484.376,-0.034,0,1787394311.0275
2.046,93.46,51.124,1.0,0.0,0.0,4,1,479.135,484.375,-0.0342,0,1787394311.1383
2.068,94.585,51.2329,1.0,0.0,0.0,4,1,480.26,484.374,-0.0344,0,1787394311.1385
2.09,95.712,51.3414,1.0,0.0,0.0,4,1,481.388,484.373,-0.0346,0,1787394311.1386
2.112,96.842,51.4493,1.0,0.0,0.0,4,1,482.517,484.372,-0.0348,0,1787394311.1388
2.134,97.974,51.5574,1.0,0.0,0.0,4,1,483.65,484.371,-0.035,0,1787394311.1389
2.156,99.109,51.6652,0.0,0.0,0.0,4,1,484.784,484.37,-0.0352,0,1787394311.2433
2.178,100.245,51.6434,0.0,0.0,0.0,4,1,485.92,484.369,-0.0354,0,1787394311.2434
2.2,101.379,51.597,0.0,0.0,0.0,4,1,487.054,484.368,-0.0356,0,1787394311.2435
2.222,102.513,51.5508,0.0,0.0,0.0,4,1,488.188,484.367,-0.0358,0,1787394311.2436
2.244,103.645,51.5048,0.0,0.0,0.0,4,1,489.321,484.366,-0.036,0,1787394311.2439
2.266,104.777,51.4588,0.0,0.0,0.0,4,1,490.452,484.365,-0.0362,0,1787394311.35
2.288,105.908,51.4129,0.0,0.0,0.0,4,1,491.583,484.364,-0.0364,0,1787394311.3502
2.31,107.037,51.3672,0.0,0.0,0.0,4,1,492.712,484.363,-0.0366,0,1787394311.3503
2.332,108.166,51.3214,0.0,0.0,0.0,4,1,493.841,484.362,-0.0368,0,1787394311.3504
2.354,109.293,51.2758,0.0,0.0,0.0,4,1,494.969,484.361,-0.037,0,1787394311.3506
2.376,110.42,51.2302,0.0,0.0,0.0,4,1,496.095,484.359,-0.0372,0,1787394311.4541
2.398,111.545,51.1846,0.0,0.0,0.0,4,1,497.221,484.358,-0.0374,0,1787394311.4543
2.42,112.67,51.1391,0.0,0.0,0.0,4,1,498.345,484.357,-0.0376,0,1787394311.4544
2.442,113.794,51.0935,0.0,0.0,0.0,4,1,499.469,484.356,-0.0378,0,1787394311.4546
2.464,114.916,51.048,0.0,0.0,0.0,4,1,500.591,484.355,-0.038,0,1787394311.4547
2.486,116.038,51.0026,0.0,0.2,0.0,4,1,501.713,484.354,-0.0382,0,1787394311.561
2.508,117.157,50.8157,0.0,0.4,0.0,4,1,502.832,484.353,-0.0384,0,1787394311.5611
2.53,118.27,50.4701,0.0,0.6,0.0,4,1,503.945,484.352,-0.0386,0,1787394311.5612
2.552,119.374,49.9928,0.0,0.7484,0.0,4,1,505.049,484.351,-0.0388,0,1787394311.5614
2.574,120.466,49.4221,0.0,0.546,0.0,4,1,506.142,484.35,-0.039,0,1787394311.6651
2.596,121.546,48.8402,0.0,0.8128,0.0,4,1,507.221,484.349,-0.0392,0,1787394311.6652
2.618,122.612,48.2391,0.0,0.3425,0.0,4,1,508.288,484.348,-0.0394,0,1787394311.6654
2.64,123.666,47.6709,0.0,1.0,0.0,4,1,509.341,484.347,-0.0396,0,1787394311.6657
2.662,124.707,47.0918,0.0,0.2,0.0,4,1,510.382,484.347,-0.0398,0,1787394311.6658
2.684,125.735,46.534,0.0,1.0,0.0,4,1,511.41,484.346,-0.0399,0,1787394311.7734
2.706,126.752,45.9891,0.0,0.2,0.0,4,1,512.427,484.345,-0.04,0,1787394311.7735
2.728,127.756,45.4501,0.0,1.0,0.0,4,1,513.431,484.345,-0.0402,0,1787394311.7737
2.75,128.749,44.9122,0.0,0.2,0.0,4,1,514.424,484.344,-0.0403,0,1787394311.7738
2.772,129.729,44.3848,0.0,1.0,0.0,4,1,515.404,484.343,-0.0404,0,1787394311.774
2.794,130.699,43.8444,0.0,0.2,0.0,4,1,516.374,484.343,-0.0406,0,1787394311.881
2.814,131.569,43.3539,0.0,1.0,0.0,4,1,517.244,484.342,-0.0407,0,1787394311.8811
2.834,132.431,42.8585,0.0,0.2,0.0,4,1,518.106,484.341,-0.0408,0,1787394311.8813
2.854,133.281,42.3688,0.0,1.0,0.0,4,1,518.956,484.341,-0.0409,0,1787394311.8814
2.874,134.123,41.8731,0.0,0.2,0.0,4,1,519.798,484.34,-0.041,0,1787394311.8815
2.894,134.954,41.3833,0.0,1.0,0.0,4,1,520.629,484.34,-0.0411,0,1787394311.9879
2.914,135.776,40.8903,0.0,0.2,0.0,4,1,521.451,484.34,-0.0412,0,1787394311.9883
